time,pelvis_gx,pelvis_gy,pelvis_gz,pelvis_ax,pelvis_ay,pelvis_az,tibia_r_gx,tibia_r_gy,tibia_r_gz,tibia_r_ax,tibia_r_ay,tibia_r_az,hip_flexion_r,knee_angle_r,ankle_angle_r
2.61666667,23.582741111111172,-11.944555426331664,14.001485169500022,-0.717300573840663,5.340352272281413,-0.9376927501540269,-30.253801035499496,28.12205998792022,-57.79729608037685,-4013.2214109634033,-12146.803766022076,-5651.318342398542,-12.49586374,-42.65127367,2.33656809
2.63333333,30.289259602478122,-10.160462066709568,-1.7784414484394042,1.4642634142948752,0.3745078501965733,-0.6313677474528905,19.504421899335913,38.318638087733184,40.668000034685925,-12305.102819314441,3957.499505075891,3985.1252457136966,-9.55366378,-48.48059128,-2.05772352
2.65,29.515204788785812,-7.672718208947593,21.01810005536189,-5.466165813533462,-0.24346790261356896,0.2559598976160277,10.693211681930176,31.44342307949031,34.255295395597535,14455.647710118596,5386.562337172331,-2774.2255162741412,-6.90455914,-53.50159862,-5.42441724
2.66666667,22.5358718106198,4.739154725750178,-2.4517192131936083,-3.3658586926866274,-1.6724173379326468,1.8299174639337137,-13.51484997559913,48.22359300027118,-10.51172988617096,433.243708279209,-5152.132689641476,15531.38075135953,-4.03366747,-58.29519043,-6.81407509
2.68333333,7.149322199192899,16.454496130034283,15.985705316163651,1.4581794167282014,3.1475507409790384,-1.2005635197745146,-43.09684335306951,-59.742117193837615,42.94050023671207,-2642.606938355878,-3615.799069645793,-19969.889471866278,-1.0267392,-62.41197518,-6.24544349
2.7,-1.5253004059224997,24.50134875867689,0.8497100320948497,-0.3094198762316506,-1.556135377545693,1.192967522812979,-30.10911231825609,-29.1042319454491,31.186939772267444,-3807.16521775287,13258.501126748446,5537.574753355731,1.32255156,-65.5333506,-4.53630069
2.71666667,-8.731726911016592,17.12990046650052,17.358525296940183,-2.9551343641073817,1.72004537603658,1.445077156061524,44.386887435159345,-57.015544412483074,-42.0959907055382,916.5025917856649,-11459.332358867787,-698.5079518280698,3.80143698,-67.87142594,-2.33589453
2.73333333,-23.92394515646767,21.9482616750432,2.785491833508776,-0.8690756523696724,-2.002175199131087,1.8069832772065682,-55.8548427842816,24.06456359118805,-27.862705931923514,-4035.6879584308213,4996.332934060107,2630.725446048909,5.831684,-69.31639946,-0.35997086
2.75,-29.448605479466654,23.27102190071009,-12.148726195929939,-0.33886786445292394,-2.8403988638392104,0.17409593036161755,27.05970072479393,-4.127536163365148,-22.360160273875167,9115.392785829225,-12338.199904994835,2797.626727081999,7.87805038,-69.97521714,1.15113818
2.76666667,-25.90294528427514,7.83238709278228,-7.978592097283415,-3.5391268313008406,-1.1801889441510942,1.4557331645863256,56.93054690119503,-29.76204427066978,-30.231046542907507,-13198.626745148556,10034.613285175694,3052.847101008421,10.0244241,-69.8788098,2.25441576
2.78333333,-33.704347421541655,30.909028805394833,-37.97827070640763,1.4163474334611093,-2.7377989048809934,1.0504435798225615,-45.676898897472455,-54.424727413235395,46.128574014843686,6124.525266291608,6471.196879330193,-7527.848699894758,12.11674348,-69.00186812,2.93272687
2.8,-25.376429276599445,7.796597924137546,-18.741011105334312,-1.039679584128418,0.39373184250762777,1.8756712497313717,-34.97646362627714,2.576567489873457,-27.167545458343174,4637.11040896885,-7402.82076570859,-1914.8442802540494,14.10804544,-67.30128162,3.42044471
2.81666667,-5.301781959145303,3.7494866259076303,-18.851303779505724,1.7196853757483697,-3.3516746813388925,0.26071220856972455,21.980049784357043,-29.994002707736026,-45.45283927989796,643.2781810869252,-4801.691302977945,9638.675855020236,15.70357334,-64.72553341,3.65716631
2.83333333,-10.727225523125414,14.269271422072496,-33.755518287318445,-1.9268272292693722,-1.3435194625923907,-0.37209585116162336,-12.385917347634239,47.80078874626407,-12.419349195718013,-1083.8294926485298,8706.190164927684,-1171.9588866517338,17.26660263,-61.52992437,3.92575788
2.85,8.400373290661202,0.2836434652928454,-12.52404020023203,0.7120077151974351,-2.799250880300031,2.4098390360643447,-59.47146723592731,-11.410760243057178,11.900917314462625,2772.066845544012,-2213.4101949013893,-5199.260928778775,18.35358126,-57.57483383,4.15347143
2.86666667,19.367167236545512,-0.48136235706523695,-19.061345838515017,0.09406807525428929,-2.5847660678117608,-2.0549536439625102,-18.59279710117392,-49.44770631698002,13.208252376270156,-3739.7496935374083,-1790.7510524235986,-1761.7039458351555,19.38496182,-53.06987023,4.34105409
2.88333333,7.494500005394364,0.6510839724493965,-8.964227053800949,1.7812792874879257,0.6288477484608301,3.574690570123724,52.25503846398681,-47.06296925241162,-48.108052890140925,-2622.7939883796894,763.0685878134071,-2186.576739455152,20.17259692,-48.04208681,4.41291998
2.9,19.536876499203842,-9.288347405463547,-2.0928761133473155,0.5149437940227874,-2.533174986730219,-0.257327897068826,53.70935656194769,-35.406572880663774,-36.48758245930902,3051.5029240119293,3598.0756501654496,2642.9802202482933,20.34428047,-42.14377802,4.17337775
2.91666667,22.86827665231607,-27.45066995579581,-20.72845585920593,0.374364299491181,-3.3373466698772325,1.0869128695301458,37.74723391144183,-32.185739661173976,-23.0762167635541,297.2587270914103,-1726.959609236197,3308.759382553172,20.34533456,-36.06118719,3.8988479
